Circuit breaker Open/Close Status, Disconnector Open/Close Status, Earth switch Open/Close Status, Protection system healthy (Trip circuit healthy), Control level - Local or remote, Protection tripped, Circuit breaker mechanical failure, transformer mechanical failure (over temp), Transformer mechanical failure (over pressure), Tap changer mechanical failure, Auxiliary power failure, Current Line 'L1', Current Line 'L2', Current Line 'L3', Voltage Phase 'L1-N', Voltage Phase 'L2-N', Voltage Phase 'L3-N', Active Power, Reactive power, Frequency, Power Factor1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,154,158,151,38108,38113,38100,14999385,9250500,50.03,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,159,158,152,38092,38103,38116,14999945,9249968,50.05,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,158,153,149,38104,38107,38120,14999176,9249735,50.03,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,158,150,155,38099,38091,38102,15000080,9250918,50.01,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,153,152,158,38110,38103,38094,14999232,9249810,49.99,0.85
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,153,152,159,38090,38103,38099,15000813,9249485,49.99,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,152,149,156,38120,38096,38119,14999250,9249447,50.05,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,158,153,154,38108,38104,38105,14999641,9250667,49.96,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,149,155,152,38097,38094,38104,15000970,9249941,50.03,0.87
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,159,150,149,38120,38119,38113,14999428,9250635,49.98,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,149,155,158,38095,38108,38097,14999951,9249916,49.97,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,155,153,156,38102,38107,38095,15000608,9250551,50.03,0.86
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,159,154,149,38092,38109,38094,15000916,9249735,50.04,0.83
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,154,152,154,38106,38106,38114,14999341,9250409,50.03,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,151,159,157,38095,38104,38111,15000132,9249841,50.04,0.84
1,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,150,149,157,38115,38111,38091,14999572,9250853,49.95,0.85
